dataset,fold,original_size,reduced_size,reduction_pct
acm,0,20161,15552,22.86
acm,1,20162,17749,11.97
acm,2,20163,15737,21.95
acm,3,20165,14793,26.64
acm,4,20166,15492,23.18
acm,5,20168,17738,12.05
acm,6,20168,15510,23.1
acm,7,20169,15569,22.81
acm,8,20169,16563,17.88
acm,9,20170,15588,22.72
ohsumed,0,14823,9007,39.24
ohsumed,1,14823,8955,39.59
ohsumed,2,14824,9163,38.19
ohsumed,3,14824,9092,38.67
ohsumed,4,14824,9057,38.9
ohsumed,5,14824,9002,39.27
ohsumed,6,14824,9002,39.27
ohsumed,7,14824,9033,39.07
ohsumed,8,14824,9160,38.21
ohsumed,9,14824,9082,38.73
reut90,0,10779,5368,50.2
reut90,1,10760,5343,50.34
reut90,2,10779,5263,51.17
reut90,3,10771,5378,50.07
reut90,4,10799,5404,49.96
reut90,5,10790,5381,50.13
reut90,6,10815,5352,50.51
reut90,7,10810,5454,49.55
reut90,8,10812,5407,49.99
reut90,9,10830,5476,49.44
