dataset,fold,original_size,reduced_size,reduction_pct
ohsumed,0,14823,11015,25.69
ohsumed,1,14823,11045,25.49
ohsumed,2,14824,11022,25.65
ohsumed,3,14824,11036,25.55
ohsumed,4,14824,11012,25.72
ohsumed,5,14824,11021,25.65
ohsumed,6,14824,10971,25.99
ohsumed,7,14824,10985,25.9
ohsumed,8,14824,11046,25.49
ohsumed,9,14824,11027,25.61
acm,0,20161,19367,3.94
acm,1,20162,19434,3.61
acm,2,20163,19429,3.64
acm,3,20165,19426,3.66
acm,4,20166,19405,3.77
acm,5,20168,19412,3.75
acm,6,20168,19420,3.71
acm,7,20169,19430,3.66
acm,8,20169,19447,3.58
acm,9,20170,19427,3.68
reut90,0,10779,7704,28.53
reut90,1,10760,7680,28.62
reut90,2,10779,7713,28.44
reut90,3,10771,7709,28.43
reut90,4,10799,7691,28.78
reut90,5,10790,7724,28.42
reut90,6,10815,7733,28.5
reut90,7,10810,7692,28.84
reut90,8,10812,7706,28.73
reut90,9,10830,7725,28.67
